timestamp,volume,vw,open,close,high,low,transactions
1673827200000,143926,1.0831,1.08225,1.08294,1.08741,1.08,143926
1673913600000,208089,1.082,1.083,1.0789,1.08693,1.0773,208089
1674000000000,241865,1.0818,1.0789,1.07978,1.08874,1.0766,241865
1674086400000,205133,1.0811,1.07974,1.0832,1.084,1.0781,205133
1674172800000,175785,1.0835,1.08333,1.0875,1.0876,1.0801,175785
1674259200000,1,1.0876,1.0876,1.0876,1.0876,1.0876,1
1674345600000,4464,1.0865,1.0843,1.08639,1.08728,1.0843,4464
1674432000000,177970,1.0879,1.0864,1.08713,1.09266,1.0845,177970
1674518400000,170583,1.0872,1.08711,1.08898,1.08982,1.0835,170583
1674604800000,173276,1.0891,1.08896,1.0919,1.09235,1.0856,173276
1674691200000,174534,1.0895,1.09206,1.0892,1.09296,1.085,174534
1674777600000,157922,1.0871,1.08931,1.087,1.09001,1.0837,157922
1674864000000,2,1.0871,1.0872,1.0871,1.0872,1.0871,2
1674950400000,2268,1.0869,1.0862,1.08715,1.08725,1.08616,2268
1675036800000,174335,1.0876,1.08716,1.0849,1.0914,1.0838,174335
1675123200000,177669,1.0846,1.08504,1.08603,1.0875,1.0801,177669
1675209600000,189479,1.0912,1.08602,1.10127,1.10327,1.0851,189479
1675296000000,212083,1.0964,1.10128,1.09044,1.10272,1.08854,212083
1675382400000,198222,1.0868,1.09043,1.0825,1.09401,1.07892,198222
1675468800000,3,1.0825,1.0827,1.0822,1.0827,1.0822,3
1675555200000,5370,1.0791,1.07844,1.07892,1.07979,1.07801,5370
1675641600000,180922,1.076,1.07888,1.0729,1.0799,1.0708,180922
1675728000000,211098,1.0715,1.07291,1.0731,1.07666,1.0668,211098
1675814400000,178013,1.0732,1.07306,1.07155,1.07608,1.07051,178013
1675900800000,178528,1.0751,1.07152,1.07389,1.0791,1.0708,178528
1675987200000,180928,1.0705,1.07395,1.0699,1.07531,1.0665,180928
1676073600000,2,1.0699,1.0701,1.0696,1.0701,1.0696,2
1676246400000,130536,1.0696,1.06656,1.07307,1.0733,1.0661,130536
1676332800000,208015,1.0741,1.07306,1.0735,1.0805,1.07062,208015
1676419200000,191260,1.07,1.07351,1.06915,1.07444,1.066,191260
1676505600000,189950,1.069,1.0691,1.06653,1.07224,1.0653,189950
1676592000000,175703,1.0654,1.06652,1.0718,1.0722,1.0612,175703
1676678400000,2,1.0718,1.072,1.0715,1.072,1.0715,2
1676764800000,3685,1.0687,1.06798,1.06838,1.06932,1.06798,3685
1676851200000,118268,1.0686,1.06839,1.06824,1.07047,1.0669,118268
1676937600000,182937,1.0662,1.06822,1.06511,1.0698,1.0636,182937
1677024000000,185644,1.0638,1.06514,1.06051,1.06641,1.0598,185644
1677110400000,173113,1.0603,1.06054,1.05973,1.0628,1.0576,173113
1677196800000,191818,1.0571,1.05975,1.0583,1.06144,1.0534,191818
1677283200000,4,1.0578,1.0584,1.0571,1.0584,1.0571,4
1677369600000,2566,1.0551,1.05397,1.05531,1.05549,1.05397,2566
1677456000000,170282,1.0573,1.05531,1.06093,1.06197,1.0531,170282
1677542400000,177843,1.0605,1.06093,1.05767,1.0645,1.0569,177843
1677628800000,199690,1.0644,1.05765,1.06688,1.0692,1.0564,199690
1677715200000,188820,1.0618,1.06684,1.05985,1.0673,1.0575,188820
1677801600000,167663,1.0614,1.05979,1.0648,1.0649,1.05879,167663
1677888000000,1,1.0649,1.0649,1.0649,1.0649,1.0649,1
1677974400000,3629,1.0625,1.06146,1.06254,1.06288,1.06123,3629
1678060800000,166747,1.0656,1.06255,1.0686,1.06946,1.0621,166747
1678147200000,191485,1.0631,1.06854,1.05482,1.0695,1.0544,191485
1678233600000,177493,1.0544,1.05482,1.05488,1.05742,1.0523,177493
