timestamp,volume,vw,open,close,high,low,transactions
1673827200000,427,15105.6906,15106.7,15082,15139.1,15082,427
1673913600000,586,15173.335,15182.8,15162,15189,15140,586
1674000000000,1604,15084.7262,15039.4,15096,15166.6,15011,1604
1674086400000,1689,15154.4487,15091.1,15142,15198.6,15090.6,1689
1674172800000,2431,15085.4009,15084.3,15055.8,15123.2,15020.3,2431
1674259200000,1,15055.9,15055.9,15055.9,15055.9,15055.9,1
1674345600000,1,15055.9,15055.9,15055.9,15055.9,15055.9,1
1674432000000,859,15018.2917,14998.6,15007,15070,14971.4,859
1674518400000,467,14947.6953,14944.6,14955.5,14965.4,14885,467
1674604800000,1031,14962.0205,14979.7,14927,14987.8,14927,1031
1674691200000,1945,14960.5593,14952.7,14943.5,14977.5,14935.1,1945
1674777600000,589,14983.9815,14977.9,14970.3,14997.5,14959.3,589
1674864000000,2,14974.2,14978,14970.4,14978,14970.4,2
1675036800000,1803,14979.568,14972.8,14995,15016,14903.11,1803
1675123200000,718,15025.4155,15022.3,14990.7,15049.3,14989.8,718
1675209600000,1025,14960.9817,14948.6,14855,15004.7,14855,1025
1675296000000,3148,14891.3028,14907,14881,14919.1,14848,3148
1675382400000,4087,14945.9869,14884.7,15077.7,15091,14793.66,4087
1675468800000,2,15083.4,15088,15078.8,15088,15078.8,2
1675555200000,1,15078.8,15078.8,15078.8,15078.8,15078.8,1
1675641600000,5404,15133.34,14886,15203,15234.4,14886,5404
1675728000000,5594,15152.2811,15202,15146,15207.2,14979.73,5594
1675814400000,4905,15115.1143,15151.1,15117,15151.3,15063.31,4905
1675900800000,4756,15115.6317,15123,15140,15176,15046.39,4756
1675987200000,6108,15160.3947,15139.9,15183.3,15227.9,15044.4,6108
1676073600000,2,15181.6,15181,15182.2,15182.2,15181,2
1676246400000,9309,15214.4445,15221.5,15220,15253.1,15064.3,9309
1676332800000,7796,15163.9004,15221,15179,15221,15093,7796
1676419200000,8326,15214.7884,15183,15210,15264.1,15092.16,8326
1676505600000,6459,15144.2846,15208,15142,15210,15083.2,6459
1676592000000,5925,15196.1009,15139.1,15159,15236.6,15100.12,5925
1676764800000,1,15159,15159,15159,15159,15159,1
1676851200000,5324,15155.3204,15179.8,15163.5,15186.6,15123,5324
1676937600000,5581,15187.5127,15162.5,15235,15240.3,15092.16,5581
1677024000000,5294,15203.4855,15233,15192,15241.6,15103.1,5294
1677110400000,6385,15195.2743,15196,15210,15223.8,15094.8,6385
1677196800000,5374,15231.2322,15204.5,15256.6,15277.1,15111.07,5374
1677283200000,2,15257.85,15258,15257.7,15258,15257.7,2
1677369600000,1,15257.7,15257.7,15257.7,15257.7,15257.7,1
1677456000000,4676,15257.796,15218,15209,15292,15139.92,4676
1677542400000,6040,15243.8772,15208.9,15240,15287.5,15197.63,6040
1677628800000,6211,15244.9757,15242,15243,15276.5,15163.8,6211
1677715200000,5975,15291.3968,15243,15332.5,15346.1,15173.75,5975
1677801600000,6134,15302.8211,15331.5,15253,15342.2,15196.64,6134
1677888000000,2,15263.05,15271,15255.1,15271,15255.1,2
1677974400000,1,15255.1,15255.1,15255.1,15255.1,15255.1,1
1678060800000,6157,15317.5828,15293,15353,15353,15229.47,6157
1678147200000,5734,15378.461,15352,15437,15438,15224.5,5734
1678233600000,6028,15441.4857,15422.1,15450,15469.5,15282.2,6028
1678320000000,6474,15445.2835,15455,15500,15507,15373.75,6474
1678406400000,7453,15465.8022,15496,15471.5,15527.1,15360.81,7453
1678492800000,2,15484.3,15496,15472.6,15496,15472.6,2
1678579200000,1,15472.6,15472.6,15472.6,15472.6,15472.6,1
1678665600000,7335,15390.9732,15443,15400,15465.5,15340,7335
1678752000000,6252,15379.1904,15409,15382,15413.7,15297.13,6252
1678838400000,6864,15418.5176,15381,15479,15505.1,15303.1,6864
1678924800000,6715,15416.3167,15454.5,15396,15467.3,15288.17,6715
1679011200000,5506,15366.4196,15408,15368,15422,15331,5506
1679097600000,2,15368.25,15368,15368.5,15368.5,15368,2
1679184000000,1,15368.5,15368.5,15368.5,15368.5,15368.5,1
1679270400000,5206,15360.9297,15338,15355.5,15392.9,15287.18,5206
1679356800000,4494,15323.6634,15354.5,15297,15365,15262.5,4494
1679443200000,4002,15253.5456,15296,15186,15309.5,14991.6,4002
1679529600000,4310,15100.8005,15183,15047,15257,15030.7,4310
1679616000000,6212,15171.9629,15059,15166,15272.25,15037.9,6212
1679702400000,2,15161.95,15159,15164.9,15164.9,15159,2
1679788800000,2,15156.45,15164.9,15148,15164.9,15148,2
1679875200000,4315,15148.9958,15162.6,15107.5,15194.4,15060.6,4315
1679961600000,4467,15077.2881,15106.5,15061,15114.8,15027.9,4467
1680048000000,5739,15066.1129,15060.5,15031.5,15104.3,15012.56,5739
1680134400000,4724,15045.6139,15030.5,15020,15081,15015,4724
1680220800000,6894,14972.8001,15019,14968.6,15029.5,14838,6894
1680393600000,2,14978.3,14968.6,14988,14988,14968.6,2
1680480000000,6417,14971.4307,14982.9,14916.5,15015,14847.5,6417
1680566400000,7074,14910.9134,14915,14960,14965,14854.7,7074
1680652800000,6960,14931.9671,14958,14956,14979.6,14838.43,6960
1680739200000,5873,14934.3533,14959.5,14932,14970.2,14858.33,5873
1680825600000,2415,14932.9014,14934,14933.9,14953,14906,2415
1680998400000,2,14919.95,14933.9,14906,14933.9,14906,2
1681084800000,3996,14920.644,14907.7,14955,14964,14868.28,3996
1681171200000,5077,14898.8782,14956,14925,14957,14830.48,5077
1681257600000,6211,14857.034,14923,14823.5,14925,14760.8,6211
1681344000000,6337,14753.7987,14826,14720,14842.3,14654.8,6337
1681430400000,6134,14712.3741,14719.7,14782.5,14803.5,14637,6134
1681603200000,2,14737.75,14782.5,14693,14782.5,14693,2
1681689600000,6677,14813.666,14817.8,14860,14896,14592.67,6677
1681776000000,5874,14854.7774,14848.1,14890,14902.8,14699.14,5874
