timestamp,volume,vw,open,close,high,low,transactions
1673827200000,45661,1.3204,1.31829,1.31996,1.32219,1.3174,45661
1673913600000,104593,1.3217,1.32267,1.3199,1.32443,1.3176,104593
1674000000000,147261,1.3195,1.32034,1.32014,1.32518,1.3124,147261
1674086400000,127020,1.3232,1.32012,1.3211,1.3256,1.3189,127020
1674172800000,103514,1.3216,1.32155,1.3192,1.32344,1.31783,103514
1674345600000,1140,1.3195,1.31673,1.31866,1.32068,1.31673,1140
1674432000000,94474,1.3181,1.31982,1.31836,1.3213,1.3147,94474
1674518400000,94090,1.3195,1.31829,1.31946,1.3235,1.31671,94090
1674604800000,97704,1.3156,1.31957,1.3115,1.32091,1.3113,97704
1674691200000,105566,1.312,1.3113,1.3111,1.3141,1.3099,105566
1674777600000,91811,1.3133,1.31142,1.3131,1.31565,1.3101,91811
1674864000000,1,1.313,1.313,1.313,1.313,1.313,1
1674950400000,959,1.3125,1.31249,1.31213,1.31383,1.31198,959
1675036800000,99928,1.313,1.31212,1.3142,1.31473,1.30806,99928
1675123200000,97392,1.315,1.31461,1.31425,1.31798,1.3126,97392
1675209600000,115144,1.3117,1.3139,1.30528,1.31507,1.30417,115144
1675296000000,124096,1.3068,1.3053,1.31047,1.31122,1.3028,124096
1675382400000,123183,1.3156,1.31046,1.3231,1.32352,1.30873,123183
1675468800000,3,1.3229,1.3229,1.3229,1.3229,1.3229,3
1675555200000,1373,1.3242,1.31793,1.32514,1.32524,1.31793,1373
1675641600000,117779,1.3253,1.32513,1.32775,1.32896,1.322,117779
1675728000000,144731,1.326,1.3276,1.3236,1.32861,1.3208,144731
1675814400000,123342,1.3247,1.32362,1.32575,1.3269,1.3221,123342
1675900800000,125008,1.3238,1.32586,1.3249,1.32776,1.3193,125008
1675987200000,126457,1.3276,1.32539,1.3301,1.331,1.3235,126457
1676073600000,1,1.3298,1.3298,1.3298,1.3298,1.3298,1
1676246400000,89162,1.3309,1.3323,1.32789,1.33307,1.3273,89162
1676332800000,145220,1.3277,1.32785,1.32851,1.3314,1.3226,145220
1676419200000,131248,1.3343,1.32846,1.33549,1.33799,1.3276,131248
1676505600000,127746,1.3351,1.33547,1.33689,1.33894,1.3326,127746
1676592000000,111874,1.3387,1.33698,1.3366,1.34058,1.33381,111874
1676678400000,1,1.3365,1.3365,1.3365,1.3365,1.3365,1
